data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,4,3,3,3,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,3,244,0,0,0,2,2,2
DNA_524288,0,1,6,742,0,0,0,0,0,0
DNA_1048576,0,0,13,2424,0,0,0,8,8,8
proteins_1048576,0,5,7,16,2,2,2,1,1,1
realDNA_1048576,0,0,9,252,3,3,3,2,2,2
english_1048576,0,3,6,19,2,2,2,5,5,5
DNA_2097152,0,6,64,565,66,66,66,144,144,144
proteins_2097152,0,1,12,752,1,1,1,2,2,2
realDNA_2097152,0,33,100,16721,2,2,2,47,47,47
english_2097152,0,17,31,45,7,7,7,7,7,7
