data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,12,0,0,0,0,0,0
DNA_524288,0,0,2,11,0,0,0,2,2,2
DNA_1048576,0,0,10,61,0,0,0,1,1,1
proteins_1048576,0,0,2,13,0,0,0,1,1,1
realDNA_1048576,0,0,10,62,1,1,1,2,2,2
english_1048576,0,0,1,4,2,2,2,10,10,10
DNA_2097152,0,0,16,54,5,5,5,13,13,13
proteins_2097152,0,1,8,31,2,2,2,11,11,11
realDNA_2097152,0,0,22,141,2,2,2,17,17,17
english_2097152,0,0,3,8,1,1,1,2,2,2
