data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,1,2,0,0,0,0,0,0,0,0
DNA_8192,1,0,0,0,0,0,0,0,0,0
DNA_16384,1,0,0,0,0,0,0,0,0,0
DNA_262144,26,0,1,2,0,0,0,1,1,1
DNA_524288,62,0,2,53,0,0,0,2,2,2
DNA_1048576,174,7,10,555,0,0,0,1,1,1
proteins_1048576,58,2,2,64,0,0,0,1,1,1
realDNA_1048576,217,7,8,793,1,1,1,2,2,2
english_1048576,111,0,1,2,0,0,0,9,9,9
DNA_2097152,323,14,18,1342,1,1,1,3,3,3
proteins_2097152,150,12,24,211,1,1,1,3,3,3
realDNA_2097152,334,76,19,8415,11,11,11,4,4,4
english_2097152,236,0,2,4,1,1,1,3,3,3
DNA_4194304,714,3,60,94,1,1,1,30,30,30
