data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,12,0,1,4,0,0,0,0,0,0
DNA_524288,16,5,5,495,0,0,0,0,0,0
DNA_1048576,52,12,10,859,322,322,322,1,1,1
proteins_1048576,34,3,3,104,0,0,0,4,4,4
realDNA_1048576,59,0,5,20,0,0,0,2,2,2
english_1048576,43,0,1,3,0,0,0,1,1,1
DNA_2097152,137,24,18,1854,224,224,224,2,2,2
proteins_2097152,83,7,6,230,1,1,1,7,7,7
realDNA_2097152,141,27,24,2362,5,5,5,186,186,186
english_2097152,142,3,40,175,1,1,1,3,3,3
