data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,12,0,0,0,0,0,0
DNA_524288,0,0,5,27,0,0,0,0,0,0
DNA_1048576,0,0,10,61,0,0,0,1,1,1
proteins_1048576,0,0,2,3,0,0,0,0,0,0
realDNA_1048576,0,2,9,17,4,4,4,7,7,7
english_1048576,0,0,1,2,0,0,0,2,2,2
DNA_2097152,0,3,29,140,2,2,2,12,12,12
proteins_2097152,0,0,5,10,0,0,0,5,5,5
realDNA_2097152,0,6,19,30,1,1,1,51,51,51
english_2097152,0,0,4,22,0,0,0,3,3,3
