data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,2,0,0,0,0,0,0
DNA_524288,0,0,3,6,0,0,0,1,1,1
DNA_1048576,0,0,8,12,0,0,0,1,1,1
proteins_1048576,0,0,2,3,0,0,0,0,0,0
realDNA_1048576,0,0,7,12,1,1,1,3,3,3
english_1048576,0,0,2,3,6,6,6,5,5,5
DNA_2097152,0,8,74,53,61,61,61,228,228,228
proteins_2097152,9,12,32,29,12,12,12,144,144,144
realDNA_2097152,0,8,93,64,135,135,135,245,245,245
english_2097152,0,36,59,50,25,25,25,138,138,138
