data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,1,0,0,0,0,0,0,0,0,0
DNA_262144,29,1,1,82,118,118,118,0,0,0
DNA_524288,86,3,3,284,0,0,0,0,0,0
DNA_1048576,141,7,9,641,1,1,1,2,2,2
proteins_1048576,57,0,1,2,0,0,0,2,2,2
realDNA_1048576,150,0,6,55,1,1,1,2,2,2
english_1048576,110,0,1,2,0,0,0,2,2,2
DNA_2097152,416,1,11,45,0,0,0,86,86,86
proteins_2097152,219,4,5,152,0,0,0,1,1,1
realDNA_2097152,337,75,19,10748,14,14,14,724,724,724
english_2097152,370,1,3,7,1,1,1,1,1,1
