data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,16,0,2,26,0,0,0,2,2,2
DNA_524288,18,2,7,88,1,1,1,1,1,1
DNA_1048576,51,2,9,61,4,4,4,7,7,7
proteins_1048576,30,2,2,61,0,0,0,0,0,0
realDNA_1048576,60,4,8,252,2,2,2,6,6,6
english_1048576,44,1,1,26,0,0,0,0,0,0
DNA_2097152,227,5,19,452,1,1,1,15,15,15
proteins_2097152,86,15,9,184,2,2,2,22,22,22
realDNA_2097152,200,6,34,319,78,78,78,121,121,121
english_2097152,95,0,2,5,0,0,0,2,2,2
