data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,2,0,0,0,0,0,0
DNA_524288,0,0,4,7,1,1,1,3,3,3
DNA_1048576,0,0,7,13,0,0,0,1,1,1
proteins_1048576,0,0,2,3,0,0,0,1,1,1
realDNA_1048576,0,0,5,12,0,0,0,1,1,1
english_1048576,0,0,2,3,2,2,2,8,8,8
DNA_2097152,0,0,11,25,1,1,1,3,3,3
proteins_2097152,0,0,4,7,0,0,0,6,6,6
realDNA_2097152,0,4,20,32,6,6,6,34,34,34
english_2097152,0,1,5,7,2,2,2,8,8,8
DNA_4194304,0,0,45,57,13,13,13,24,24,24
proteins_4194304,0,1,20,23,5,5,5,11,11,11
realDNA_4194304,0,2,75,69,4,4,4,45,45,45
english_4194304,0,1,9,15,2,2,2,5,5,5
DNA_8388608,0,159,543,298,173,173,173,285,285,285
proteins_8388608,0,7,30,40,19,19,19,69,69,69
realDNA_8388608,0,5,141,150,46,46,46,36,36,36
english_8388608,0,3,19,35,6,6,6,21,21,21
DNA_16777216,0,19,7179,260,400,400,400,137,137,137
proteins_16777216,0,36,107,61,26,26,26,23,23,23
