data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,12,0,0,0,0,0,0
DNA_524288,0,0,6,27,1,1,1,2,2,2
DNA_1048576,0,0,9,21,0,0,0,2,2,2
proteins_1048576,0,0,2,13,0,0,0,1,1,1
realDNA_1048576,0,0,8,57,0,0,0,5,5,5
english_1048576,0,0,1,3,0,0,0,8,8,8
DNA_2097152,0,5,23,33,4,4,4,13,13,13
proteins_2097152,0,0,8,29,0,0,0,1,1,1
realDNA_2097152,0,0,19,129,1,1,1,3,3,3
english_2097152,0,0,2,5,0,0,0,2,2,2
DNA_4194304,0,0,65,302,6,6,6,6,6,6
proteins_4194304,0,1,8,15,2,2,2,14,14,14
realDNA_4194304,0,0,65,280,4,4,4,147,147,147
english_4194304,0,2,8,23,3,3,3,38,38,38
DNA_8388608,0,180,767,1196,647,647,647,317,317,317
proteins_8388608,0,2,26,130,2,2,2,30,30,30
realDNA_8388608,0,2,120,143,2,2,2,19,19,19
english_8388608,0,7,26,34,6,6,6,18,18,18
DNA_16777216,0,410,715,746,72,72,72,28273,28273,28273
proteins_16777216,0,176,292,238,159,159,159,24,24,24
