data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,1,0,0,1,0,0,0,0,0,0
DNA_262144,26,1,1,93,0,0,0,0,0,0
DNA_524288,61,0,2,20,0,0,0,0,0,0
DNA_1048576,172,7,13,756,0,0,0,1,1,1
proteins_1048576,60,0,2,2,0,0,0,0,0,0
realDNA_1048576,194,0,5,58,0,0,0,1,1,1
english_1048576,113,0,1,2,6,6,6,7,7,7
DNA_2097152,320,14,20,1875,1,1,1,12,12,12
proteins_2097152,132,5,5,183,2,2,2,10,10,10
realDNA_2097152,409,1,13,248,0,0,0,3,3,3
english_2097152,228,1,3,4,0,0,0,6,6,6
DNA_4194304,752,28,60,6139,2,2,2,5,5,5
proteins_4194304,659,14,78,413,2,2,2,7,7,7
realDNA_4194304,1150,135,78,34806,1338,1338,1338,427,427,427
english_4194304,536,5,18,53,7,7,7,24,24,24
DNA_8388608,3117,199,662,69428,1292,1292,1292,10757,10757,10757
proteins_8388608,951,9,31,68,12,12,12,47,47,47
realDNA_8388608,1545,7,174,1407,13,13,13,15,15,15
english_8388608,1225,16,36,43,22,22,22,33,33,33
DNA_16777216,7147,696,922,-1,2455,2455,2455,1851,1851,1851
proteins_16777216,4564,67,183,14736,1189,1189,1189,1618,1618,1618
