data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,2,-1,-1,-1,0,0,0
DNA_524288,0,0,3,6,1,1,1,2,2,2
DNA_1048576,0,0,11,15,2,2,2,5,5,5
proteins_1048576,0,0,1,3,0,0,0,2,2,2
realDNA_1048576,0,0,5,13,1,1,1,1,1,1
english_1048576,0,0,1,2,0,0,0,1,1,1
DNA_2097152,0,0,20,31,4,4,4,10,10,10
proteins_2097152,0,0,4,7,0,0,0,1,1,1
realDNA_2097152,0,0,12,26,1,1,1,3,3,3
english_2097152,0,0,2,5,0,0,0,3,3,3
DNA_4194304,0,2,45,54,1,1,1,25,25,25
proteins_4194304,0,1,7,13,1,1,1,5,5,5
realDNA_4194304,0,29,44,59,1,1,1,8,8,8
english_4194304,0,2,8,15,12,12,12,6,6,6
DNA_8388608,0,9,405,374,669,669,669,6691,6691,6691
proteins_8388608,0,7,41,43,45,45,45,87,87,87
realDNA_8388608,0,13,234,148,28,28,28,156,156,156
english_8388608,0,10,31,40,21,21,21,65,65,65
DNA_16777216,0,5,319,260,190,190,190,243,243,243
proteins_16777216,0,39,101,75,203,203,203,3516,3516,3516
realDNA_16777216,0,2,393,289,214,214,214,35603,35603,35603
