data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,12,0,0,0,0,0,0
DNA_524288,0,0,3,27,0,0,0,0,0,0
DNA_1048576,0,0,5,16,0,0,0,2,2,2
proteins_1048576,0,0,1,6,0,0,0,1,1,1
realDNA_1048576,0,0,11,70,0,0,0,2,2,2
english_1048576,0,0,2,3,0,0,0,0,0,0
DNA_2097152,0,0,13,33,1,1,1,2,2,2
proteins_2097152,0,0,5,29,0,0,0,3,3,3
realDNA_2097152,0,0,25,145,5,5,5,2,2,2
english_2097152,0,7,6,7,0,0,0,1,1,1
DNA_4194304,0,1,38,70,1,1,1,5,5,5
proteins_4194304,0,1,11,60,1,1,1,4,4,4
realDNA_4194304,0,0,71,314,1,1,1,159,159,159
english_4194304,0,1,10,18,5,5,5,12,12,12
DNA_8388608,0,21,212,159,30,30,30,16,16,16
proteins_8388608,0,2,30,132,6,6,6,11,11,11
realDNA_8388608,0,6,134,141,6,6,6,13,13,13
english_8388608,0,5,19,36,5,5,5,16,16,16
DNA_16777216,0,308,893,514,20,20,20,168,168,168
proteins_16777216,0,21,231,342,51,51,51,20635,20635,20635
