data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,12,0,0,0,0,0,0
DNA_524288,0,1,8,10,1,1,1,3,3,3
DNA_1048576,0,0,14,61,0,0,0,1,1,1
proteins_1048576,0,0,3,14,1,1,1,2,2,2
realDNA_1048576,0,0,6,23,0,0,0,2,2,2
english_1048576,0,0,2,3,0,0,0,1,1,1
DNA_2097152,0,0,21,136,2,2,2,7,7,7
proteins_2097152,0,0,7,29,0,0,0,3,3,3
realDNA_2097152,0,0,14,54,1,1,1,3,3,3
english_2097152,0,1,5,7,2,2,2,9,9,9
DNA_4194304,0,0,77,298,2,2,2,1,1,1
proteins_4194304,0,0,12,59,1,1,1,6,6,6
realDNA_4194304,0,0,42,105,1,1,1,11,11,11
english_4194304,0,10,20,35,5,5,5,23,23,23
DNA_8388608,0,5,168,137,9,9,9,55,55,55
proteins_8388608,0,5,18,32,14,14,14,8,8,8
realDNA_8388608,0,36,551,984,433,433,433,1330,1330,1330
english_8388608,0,7,29,34,9,9,9,50,50,50
DNA_16777216,0,23,4280,363,15,15,15,41,41,41
proteins_16777216,0,62,459,517,41,41,41,23151,23151,23151
