data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,3,0,0,0,0,0,0
DNA_524288,0,0,2,6,0,0,0,0,0,0
DNA_1048576,0,0,9,17,1,1,1,3,3,3
proteins_1048576,0,0,1,3,0,0,0,0,0,0
realDNA_1048576,0,0,5,13,0,0,0,1,1,1
english_1048576,0,0,2,3,0,0,0,1,1,1
DNA_2097152,0,0,13,26,1,1,1,3,3,3
proteins_2097152,0,3,9,11,2,2,2,10,10,10
realDNA_2097152,0,0,12,27,1,1,1,2,2,2
english_2097152,0,0,2,6,0,0,0,3,3,3
DNA_4194304,0,11,55,72,11,11,11,23,23,23
proteins_4194304,0,8,18,23,5,5,5,36,36,36
realDNA_4194304,0,40,202,121,151,151,151,16,16,16
english_4194304,0,1,8,14,3,3,3,15,15,15
DNA_8388608,0,32,214,175,33,33,33,15,15,15
proteins_8388608,0,7,41,47,42,42,42,66,66,66
realDNA_8388608,0,16,206,176,30,30,30,58,58,58
english_8388608,0,6,21,34,6,6,6,10,10,10
DNA_16777216,0,98,601,240,27,27,27,81,81,81
proteins_16777216,0,9,60,65,77,77,77,267,267,267
