data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,4,0,0,0,0,0,0
DNA_16384,2,0,0,10,0,0,0,0,0,0
DNA_262144,88,2,1,649,0,0,0,0,0,0
DNA_524288,103,6,5,1494,1,1,1,3,3,3
DNA_1048576,235,1,5,313,0,0,0,2,2,2
proteins_1048576,180,3,3,512,0,0,0,1,1,1
realDNA_1048576,201,11,8,4822,0,0,0,2,2,2
english_1048576,180,0,1,1,0,0,0,1,1,1
DNA_2097152,405,1,12,281,1,1,1,10,10,10
proteins_2097152,399,6,5,1195,1,1,1,2,2,2
realDNA_2097152,463,24,19,14250,1,1,1,3,3,3
english_2097152,379,0,2,1,0,0,0,2,2,2
DNA_4194304,1930,72,64,56271,6,6,6,6,6,6
proteins_4194304,1497,1,7,6,1,1,1,12,12,12
realDNA_4194304,2084,62,176,72884,4,4,4,22,22,22
english_4194304,795,3,8,56,1,1,1,9,9,9
DNA_8388608,3684,146,450,250109,257,257,257,678,678,678
proteins_8388608,1641,28,25,8451,2,2,2,10,10,10
realDNA_8388608,2904,5,124,5681,5,5,5,15,15,15
english_8388608,1640,5,18,36,5,5,5,16,16,16
DNA_16777216,61909,124,510,182047,590,590,590,1237,1237,1237
proteins_16777216,4790,207,387,210,43,43,43,275,275,275
