data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,2,0,0,0,0,0,0
DNA_524288,0,0,4,6,0,0,0,3,3,3
DNA_1048576,0,0,10,19,3,3,3,10,10,10
proteins_1048576,0,0,1,3,0,0,0,1,1,1
realDNA_1048576,0,0,6,13,1,1,1,2,2,2
english_1048576,0,0,2,3,1,1,1,8,8,8
DNA_2097152,0,5,33,33,4,4,4,2,2,2
proteins_2097152,0,0,3,6,0,0,0,2,2,2
realDNA_2097152,0,0,11,27,1,1,1,3,3,3
english_2097152,0,0,4,6,2,2,2,11,11,11
DNA_4194304,0,1,39,56,14,14,14,21,21,21
proteins_4194304,0,1,8,14,1,1,1,14,14,14
realDNA_4194304,0,2,125,91,99,99,99,77,77,77
english_4194304,0,10,19,25,4,4,4,36,36,36
DNA_8388608,0,68,423,711,47,47,47,117,117,117
proteins_8388608,0,6,37,41,8,8,8,56,56,56
realDNA_8388608,0,3,165,142,3,3,3,28,28,28
english_8388608,0,16,47,60,19,19,19,66,66,66
DNA_16777216,0,61,447,319,214,214,214,158,158,158
proteins_16777216,0,21,61,72,42,42,42,26,26,26
