data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,9,0,0,0,0,0,0
DNA_262144,0,0,2,227,0,0,0,0,0,0
DNA_524288,0,0,7,683,0,0,0,0,0,0
DNA_1048576,0,0,20,2493,0,0,0,2,2,2
proteins_1048576,0,1,3,13,1,1,1,6,6,6
realDNA_1048576,0,0,8,979,0,0,0,1,1,1
english_1048576,0,3,6,14,3,3,3,5,5,5
DNA_2097152,0,3,24,1232,5,5,5,13,13,13
proteins_2097152,0,1,4,29,0,0,0,2,2,2
realDNA_2097152,0,2,30,15297,1,1,1,2,2,2
english_2097152,0,2,7,82,2,2,2,5,5,5
DNA_4194304,0,2,43,1280,1,1,1,7,7,7
proteins_4194304,0,3,10,68,2,2,2,5,5,5
realDNA_4194304,0,6,121,68257,5,5,5,42,42,42
english_4194304,0,3,11,63,3,3,3,9,9,9
DNA_8388608,0,10,372,195807,328,328,328,813,813,813
proteins_8388608,0,14,31,182,26,26,26,37,37,37
realDNA_8388608,0,7,166,18989,8,8,8,30,30,30
english_8388608,0,8,24,165,5,5,5,12,12,12
DNA_16777216,0,514,1468,12245,77,77,77,484,484,484
proteins_16777216,0,19,150,875,659,659,659,172,172,172
