data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,3,2,91,46,46,46,0,0,0
DNA_524288,0,6,3,236,0,0,0,2,2,2
DNA_1048576,0,13,8,734,0,0,0,1,1,1
proteins_1048576,0,0,1,3,0,0,0,1,1,1
realDNA_1048576,0,13,9,796,198,198,198,2,2,2
english_1048576,0,0,1,3,0,0,0,1,1,1
DNA_2097152,0,5,21,148,6,6,6,4,4,4
proteins_2097152,0,4,9,12,2,2,2,10,10,10
realDNA_2097152,0,2,12,84,1,1,1,4,4,4
english_2097152,0,1,4,8,5,5,5,19,19,19
DNA_4194304,0,4,39,451,3,3,3,8,8,8
proteins_4194304,0,2,8,15,2,2,2,6,6,6
realDNA_4194304,0,56,69,14774,14,14,14,63,63,63
english_4194304,0,9,17,86,6,6,6,22,22,22
DNA_8388608,0,28,180,8235,9,9,9,18,18,18
proteins_8388608,0,8,19,33,3,3,3,22,22,22
realDNA_8388608,0,40,159,9639,11,11,11,17,17,17
english_8388608,0,9,30,1705,10,10,10,14,14,14
DNA_16777216,0,316,857,26449,925,925,925,1603,1603,1603
proteins_16777216,0,13,67,886,1273,1273,1273,195,195,195
