data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,1,0,0,0,0,0,0,0,0,0
DNA_16384,1,0,0,1,0,0,0,0,0,0
DNA_262144,52,1,1,84,2,2,2,0,0,0
DNA_524288,109,0,2,20,0,0,0,1,1,1
DNA_1048576,140,7,8,824,0,0,0,7,7,7
proteins_1048576,58,2,4,66,1,1,1,2,2,2
realDNA_1048576,162,1,9,211,0,0,0,1,1,1
english_1048576,114,1,3,4,1,1,1,2,2,2
DNA_2097152,329,14,22,2436,2,2,2,2,2,2
proteins_2097152,138,5,8,176,2,2,2,15,15,15
realDNA_2097152,390,3,13,1942,1,1,1,4,4,4
english_2097152,229,1,5,6,2,2,2,9,9,9
DNA_4194304,779,28,60,6628,2,2,2,1,1,1
proteins_4194304,313,12,18,503,9,9,9,24,24,24
realDNA_4194304,728,4,33,4136,2,2,2,9,9,9
english_4194304,518,10,21,114,6,6,6,18,18,18
DNA_8388608,1463,5,120,281,11,11,11,79,79,79
proteins_8388608,948,18,36,40,18,18,18,29,29,29
realDNA_8388608,3240,307,508,-1,327,327,327,1115,1115,1115
english_8388608,1198,7,19,27,9,9,9,20,20,20
DNA_16777216,4018,19,308,26280,200,200,200,411,411,411
proteins_16777216,3705,36,80,14517,81,81,81,591,591,591
realDNA_16777216,8712,1614,1239,92599,2062,2062,2062,4934,4934,4934
