data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,12,0,0,0,0,0,0
DNA_524288,0,0,2,7,0,0,0,0,0,0
DNA_1048576,0,0,9,61,0,0,0,5,5,5
proteins_1048576,0,2,4,5,0,0,0,1,1,1
realDNA_1048576,0,0,7,16,1,1,1,1,1,1
english_1048576,0,0,1,3,20,20,20,7,7,7
DNA_2097152,0,0,19,137,1,1,1,14,14,14
proteins_2097152,0,0,5,29,0,0,0,2,2,2
realDNA_2097152,0,1,12,31,0,0,0,3,3,3
english_2097152,0,4,7,10,4,4,4,21,21,21
DNA_4194304,0,0,62,299,2,2,2,4,4,4
proteins_4194304,0,0,15,66,2,2,2,13,13,13
realDNA_4194304,0,0,108,316,42,42,42,6,6,6
english_4194304,0,2,12,19,2,2,2,4,4,4
DNA_8388608,0,3,250,1318,142,142,142,1041,1041,1041
proteins_8388608,0,3,19,33,3,3,3,11,11,11
realDNA_8388608,0,11,133,147,23,23,23,67,67,67
english_8388608,0,5,19,34,7,7,7,10,10,10
DNA_16777216,0,5,577,1980,269,269,269,190,190,190
proteins_16777216,0,2,116,291,64,64,64,76,76,76
