data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,12,2,1,94,0,0,0,0,0,0
DNA_524288,15,5,3,248,0,0,0,0,0,0
DNA_1048576,49,1,8,68,2,2,2,2,2,2
proteins_1048576,33,1,3,24,1,1,1,4,4,4
realDNA_1048576,90,13,10,939,0,0,0,1,1,1
english_1048576,43,0,2,5,0,0,0,3,3,3
DNA_2097152,163,2,11,159,3,3,3,10,10,10
proteins_2097152,85,6,6,157,1,1,1,0,0,0
realDNA_2097152,266,26,20,2417,1,1,1,3,3,3
english_2097152,92,6,9,12,4,4,4,8,8,8
DNA_4194304,456,5,70,381,4,4,4,6,6,6
proteins_4194304,144,16,18,510,6,6,6,16,16,16
realDNA_4194304,300,56,66,7280,15,15,15,7,7,7
english_4194304,197,4,13,19,16,16,16,42,42,42
DNA_8388608,4070,7,140,338,9,9,9,29,29,29
proteins_8388608,463,32,58,1422,6,6,6,11,11,11
realDNA_8388608,684,7,136,410,8,8,8,19,19,19
english_8388608,603,6,27,39,6,6,6,18,18,18
DNA_16777216,1604,21,305,6652,19,19,19,24,24,24
proteins_16777216,1516,164,366,6594,535,535,535,875,875,875
