data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,8,0,0,0,0,0,0
DNA_262144,13,2,1,116,2,2,2,0,0,0
DNA_524288,25,6,18,263,0,0,0,1,1,1
DNA_1048576,62,12,8,800,0,0,0,1,1,1
proteins_1048576,33,0,1,5,0,0,0,0,0,0
realDNA_1048576,71,2,8,37,4,4,4,7,7,7
english_1048576,77,0,1,17,0,0,0,1,1,1
DNA_2097152,201,25,32,2359,2,2,2,3,3,3
proteins_2097152,96,7,7,235,1,1,1,2,2,2
realDNA_2097152,139,27,22,2397,6,6,6,4,4,4
english_2097152,94,1,4,7,2,2,2,10,10,10
DNA_4194304,299,3,38,357,3,3,3,4,4,4
proteins_4194304,140,13,11,502,2,2,2,20,20,20
realDNA_4194304,304,56,64,8705,5,5,5,7,7,7
english_4194304,299,4,14,23,6,6,6,41,41,41
DNA_8388608,2335,160,340,31304,462,462,462,778,778,778
proteins_8388608,441,36,45,2612,4,4,4,11,11,11
realDNA_8388608,1025,112,345,61647,215,215,215,541,541,541
english_8388608,625,8,34,43,12,12,12,48,48,48
DNA_16777216,2933,273,885,-1,295,295,295,5267,5267,5267
proteins_16777216,1134,56,79,6538,547,547,547,5554,5554,5554
