data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,14,2,1,116,0,0,0,0,0,0
DNA_524288,20,5,3,32,1,1,1,3,3,3
DNA_1048576,49,12,9,733,1,1,1,2,2,2
proteins_1048576,34,2,4,5,0,0,0,1,1,1
realDNA_1048576,64,1,6,69,0,0,0,1,1,1
english_1048576,75,0,1,3,22,22,22,1,1,1
DNA_2097152,160,25,22,2318,1,1,1,4,4,4
proteins_2097152,67,6,5,170,0,0,0,6,6,6
realDNA_2097152,171,4,18,89,4,4,4,13,13,13
english_2097152,131,1,3,6,0,0,0,3,3,3
DNA_4194304,419,57,71,6097,631,631,631,5,5,5
proteins_4194304,143,16,18,512,7,7,7,30,30,30
realDNA_4194304,360,60,102,9262,3,3,3,6,6,6
english_4194304,189,1,7,34,1,1,1,13,13,13
DNA_8388608,1844,167,364,51093,762,762,762,923,923,923
proteins_8388608,360,10,28,78,12,12,12,47,47,47
realDNA_8388608,1971,12,150,555,13,13,13,23,23,23
english_8388608,464,16,36,50,21,21,21,33,33,33
DNA_16777216,3568,302,890,-1,1296,1296,1296,5448,5448,5448
proteins_16777216,1406,56,109,8639,2236,2236,2236,1374,1374,1374
